room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
4131415,279,21433655,Entire home/apt,Switzerland,Zurich,,Kreis 1,6,5,,2,,399,1,,02:07.1,47.370036,8.544794,0101000020E6100000321D3A3DEF162140DC2BF3565DAF4740
8820116,279,18035347,Entire home/apt,Switzerland,Zurich,,Kreis 4,1,4,,2,2,311,3,,58:23.0,47.37351,8.527627,0101000020E610000023F94A20250E21404F5DF92CCFAF4740
5479767,279,2684024,Entire home/apt,Switzerland,Zurich,,Kreis 4,16,4.5,,2,1,207,1,,16:25.1,47.380103,8.524147,0101000020E6100000D097DEFE5C0C2140450E1137A7B04740
2055920,279,4387358,Entire home/apt,Switzerland,Zurich,,Kreis 4,7,5,,2,2,337,3,,28:37.4,47.380148,8.527682,0101000020E61000003160C9552C0E2140E5D18DB0A8B04740
2655041,279,13591955,Entire home/apt,Switzerland,Zurich,,Kreis 2,0,,5,2,2,202,5,,33:37.7,47.367557,8.531666,0101000020E61000004FCAA486361021403B35971B0CAF4740
3103300,279,829091,Entire home/apt,Switzerland,Zurich,,Kreis 12,34,4.5,,2,1,90,3,,42:00.1,47.406065,8.587163,0101000020E6100000AED7F4A0A02C21406E861BF0F9B34740
740193,279,2769888,Entire home/apt,Switzerland,Zurich,,Kreis 3,15,4.5,,3,1,259,2,,02:53.4,47.364119,8.496018,0101000020E610000064744012F6FD2040166D8E739BAE4740
6368246,279,32366389,Entire home/apt,Switzerland,Zurich,,Kreis 5,16,5,5,1,1,203,2,,30:02.9,47.387477,8.515749,0101000020E6100000B0E3BF4010082140E179A9D898B14740
3691351,279,18715465,Entire home/apt,Switzerland,Zurich,,Kreis 8,3,4.5,,4,,397,5,,31:36.4,47.362956,8.557166,0101000020E6100000E3E2A8DC441D214088F19A5775AE4740
3683319,279,18715465,Entire home/apt,Switzerland,Zurich,,Kreis 8,10,4,,3,2,228,5,,32:41.4,47.362879,8.557277,0101000020E610000040A03369531D2140DDB3AED172AE4740
2494819,279,3248823,Entire home/apt,Switzerland,Zurich,,Kreis 5,6,4.5,5,2,1,177,5,,27:27.4,47.386437,8.527608,0101000020E61000004837C2A2220E2140707B82C476B14740
4267510,279,22153637,Entire home/apt,Switzerland,Zurich,,Kreis 6,7,5,5,1,,259,3,,35:44.1,47.394129,8.534986,0101000020E6100000BEA25BAFE9112140DDB3AED172B24740
