room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
8532089,43256484,Entire home/apt,,Guildhall Ward,0,,6,,204,7,53.957191,-1.076429,24:58.0
10058717,3915321,Entire home/apt,,Guildhall Ward,14,5,4,,108,3,53.956135,-1.072801,26:46.5
11876377,28107849,Entire home/apt,,Fishergate Ward,5,5,6,,235,2,53.95163,-1.075687,01:47.3
10353625,2960835,Entire home/apt,,Fishergate Ward,1,,4,,159,1,53.947644,-1.074028,59:01.3
11875116,28107849,Entire home/apt,,Guildhall Ward,4,5,4,,139,2,53.954177,-1.07568,20:28.3
15231295,28107849,Entire home/apt,,Guildhall Ward,2,,4,,191,2,53.956514,-1.081224,12:24.1
4948485,25502688,Entire home/apt,,Dringhouses & Woodthorpe Ward,81,5,2,,96,2,53.945856,-1.102493,11:00.5
13825039,35894332,Entire home/apt,,Micklegate Ward,11,5,2,,108,3,53.951513,-1.0831,55:43.1
9250910,43256484,Entire home/apt,,Guildhall Ward,4,4.5,4,,127,7,53.958341,-1.083948,10:08.6
8449910,43256484,Entire home/apt,,Micklegate Ward,2,,4,,102,7,53.958206,-1.087051,13:18.8
8543827,43256484,Entire home/apt,,Micklegate Ward,4,5,6,,159,7,53.954471,-1.085961,57:45.6
2833649,56537,Entire home/apt,,Micklegate Ward,89,5,6,,152,1,53.95108,-1.086017,55:23.4
13178184,73691092,Entire home/apt,,Guildhall Ward,7,5,4,,191,2,53.955771,-1.075352,25:56.0
14445833,88950174,Entire home/apt,,Holgate Ward,16,4.5,6,,173,,53.964511,-1.106693,24:47.2
15391168,1824198,Entire home/apt,,Micklegate Ward,3,5,4,,134,2,53.955534,-1.08503,22:28.1
14752096,43256484,Entire home/apt,,Micklegate Ward,1,,2,,127,5,53.955086,-1.083163,19:10.1
6721326,25625981,Entire home/apt,,Micklegate Ward,24,4.5,2,,114,4,53.956336,-1.084149,08:47.2
7301625,28107849,Entire home/apt,,Strensall Ward,37,4.5,3,,116,1,54.016243,-1.048628,11:16.6
13119123,43256484,Entire home/apt,,Micklegate Ward,0,,2,,121,,53.955938,-1.08747,06:17.7
8531808,43256484,Entire home/apt,,Guildhall Ward,2,,4,,152,7,53.961362,-1.081431,29:22.1
8265650,43246668,Entire home/apt,,Guildhall Ward,14,5,4,,215,,53.965191,-1.083133,55:27.0
7509836,23981623,Entire home/apt,,Haxby & Wigginton Ward,20,5,8,,222,2,54.014338,-1.072237,02:22.2
5421562,28107849,Entire home/apt,,Strensall Ward,62,4.5,3,,114,1,54.016681,-1.048285,21:56.0
3772374,19336415,Entire home/apt,,Guildhall Ward,153,4.5,5,,114,2,53.962747,-1.091636,55:13.9
2506759,12831052,Entire home/apt,,Guildhall Ward,93,4.5,3,,114,2,53.955158,-1.069257,04:26.2
